dBm		count					dBm	ADC	Action
-16	0.006862000	6.387898182	6	black			-16	6	black
-15	0.008493000	7.906210909	8	g1/5			-15	8	g1/5
-14	0.010419000	9.699141818	10	g1/4			-14	10	g1/4
-13	0.012853000	11.96497455	12	g1/3			-13	12	g1/3
-12	0.015816000	14.72325818	15	g1/2			-12	15	g1/2
-11	0.019377000	18.03822545	18	g1/1			-11	18	g1/1
-10	0.023573000	21.94432	22	g10			-10	22	g10
-9	0.028099000	26.15761455	26	g9			-9	26	g9
-8	0.033993000	31.64439273	32	g8			-8	32	g8
-7	0.040978000	38.14679273	38	g7			-7	38	g7
-6	0.049211000	45.81096727	46	g6			-6	46	g6
-5	0.058801000	54.73838545	55	g5			-5	55	g5
-4	0.069298000	64.51013818	65	g4			-4	65	g4
-3	0.082209000	76.52910545	77	g3			-3	77	g3
-2	0.097333000	90.60817455	91	g2			-2	91	g2
-1	0.114791000	106.8599855	107	g1			-1	107	g1
0	0.134789000	125.4763055	125	gsolid			0	125	gsolid
1	0.156531000	145.7161309	146	r1			1	146	r1
2	0.182965000	170.3237818	170	r2			2	170	r2
3	0.213329000	198.5899055	199	r3			3	199	r3
4	0.247897000	230.7695709	231	r4			4	231	r4
5	0.287021000	267.1904582	267	r5			5	267	r5
6	0.328263000	305.5830109	306	r6			6	306	r6
7	0.378828000	352.6544291	353	r7			7	353	r7
8	0.436700000	406.528	407	r8			8	407	r8
9	0.502048000	467.3610473	467	r9			9	467	r9
10	0.575560000	535.7940364	536	rsolid			10	536	rsolid
									
									
									
REF	1.100000000								
